iter	Passed	Remaining
155	1393	3965
156	1402	3956
157	1411	3948
158	1420	3938
159	1428	3928
160	1437	3918
161	1445	3908
162	1453	3897
163	1462	3889
164	1471	3880
165	1480	3870
166	1489	3862
167	1498	3853
168	1507	3844
169	1516	3835
170	1525	3826
171	1533	3816
172	1542	3807
173	1551	3798
174	1560	3789
175	1569	3779
176	1578	3771
177	1587	3762
178	1595	3753
179	1604	3744
180	1612	3733
181	1621	3724
182	1630	3715
183	1639	3706
184	1647	3696
185	1656	3687
186	1665	3677
187	1674	3669
188	1683	3661
189	1693	3653
190	1702	3644
191	1711	3636
192	1720	3627
193	1728	3618
194	1737	3608
195	1746	3599
196	1755	3590
197	1764	3582
198	1773	3573
199	1782	3565
200	1791	3556
201	1800	3548
202	1809	3538
203	1818	3529
204	1827	3520
205	1836	3511
206	1844	3501
207	1853	3492
208	1862	3483
209	1871	3474
210	1880	3466
211	1889	3457
212	1898	3448
213	1906	3439
214	1915	3430
215	1924	3421
216	1933	3412
217	1942	3403
218	1951	3395
219	1959	3385
220	1968	3376
221	1977	3367
222	1986	3358
223	1995	3349
224	2004	3340
225	2013	3331
226	2022	3323
227	2031	3314
228	2040	3305
229	2049	3297
230	2058	3288
231	2067	3279
232	2076	3270
233	2085	3261
234	2094	3252
235	2102	3243
236	2111	3234
237	2120	3225
238	2129	3216
239	2138	3207
240	2146	3198
241	2155	3189
242	2164	3180
243	2173	3171
244	2182	3162
245	2191	3154
246	2201	3145
247	2211	3138
248	2221	3131
249	2230	3123
250	2240	3115
251	2249	3106
252	2258	3097
253	2267	3088
254	2276	3079
255	2285	3070
256	2294	3062
257	2302	3052
258	2312	3044
259	2320	3034
260	2330	3026
261	2339	3017
262	2348	3008
263	2356	2999
264	2366	2991
265	2375	2982
266	2383	2973
267	2392	2964
268	2401	2955
269	2410	2946
270	2419	2937
271	2428	2928
272	2437	2920
273	2446	2910
274	2456	2902
275	2465	2894
276	2474	2885
277	2483	2876
278	2492	2867
279	2501	2858
280	2510	2849
281	2518	2840
282	2527	2831
283	2536	2822
284	2545	2813
285	2554	2804
286	2563	2795
287	2571	2785
288	2580	2776
289	2588	2767
290	2597	2758
291	2606	2749
292	2616	2741
293	2624	2732
294	2633	2722
295	2642	2714
296	2651	2704
297	2660	2695
298	2668	2686
299	2677	2677
300	2686	2668
301	2695	2659
302	2704	2651
303	2713	2642
304	2722	2633
305	2731	2624
306	2740	2615
307	2748	2605
308	2757	2596
309	2766	2588
310	2775	2579
311	2784	2570
312	2793	2561
313	2802	2552
314	2811	2544
315	2821	2535
316	2830	2527
317	2839	2518
318	2848	2509
319	2857	2500
320	2867	2492
321	2876	2483
322	2884	2473
323	2893	2464
324	2902	2455
325	2910	2446
326	2919	2437
327	2928	2428
328	2937	2420
329	2946	2411
330	2956	2402
331	2965	2393
332	2974	2384
333	2982	2375
334	2991	2366
335	3000	2357
336	3009	2348
337	3017	2339
338	3026	2330
339	3035	2321
340	3044	2312
341	3053	2303
342	3062	2294
343	3070	2285
344	3079	2276
345	3088	2267
346	3097	2258
347	3106	2249
348	3115	2240
349	3125	2232
350	3134	2223
351	3143	2214
352	3151	2205
353	3160	2196
354	3169	2187
355	3177	2177
356	3186	2169
357	3195	2160
358	3204	2151
359	3214	2142
360	3223	2133
361	3231	2124
362	3240	2115
363	3248	2106
364	3257	2097
365	3266	2088
366	3275	2079
367	3283	2070
368	3292	2061
369	3301	2052
370	3310	2043
371	3319	2034
372	3328	2025
373	3336	2016
374	3345	2007
375	3355	1998
376	3364	1989
377	3372	1980
378	3381	1971
379	3390	1963
380	3399	1953
381	3407	1944
382	3416	1935
383	3425	1926
384	3434	1917
385	3443	1908
386	3452	1899
387	3460	1890
388	3469	1881
389	3477	1872
390	3486	1863
391	3495	1854
392	3504	1845
393	3513	1836
394	3521	1827
395	3530	1818
396	3539	1809
397	3548	1800
398	3557	1791
399	3565	1782
400	3574	1773
401	3583	1765
402	3592	1756
403	3601	1747
404	3610	1738
405	3619	1729
406	3628	1720
407	3637	1711
408	3645	1702
409	3654	1693
410	3663	1684
411	3672	1675
412	3681	1666
413	3690	1657
414	3698	1648
415	3707	1640
416	3716	1631
417	3726	1622
418	3734	1613
419	3743	1604
420	3752	1595
421	3761	1586
422	3770	1577
423	3779	1568
424	3787	1559
425	3797	1550
426	3806	1542
427	3814	1533
428	3824	1524
429	3833	1515
430	3841	1506
431	3850	1497
432	3859	1488
433	3868	1479
434	3877	1470
435	3886	1461
436	3894	1452
437	3904	1444
438	3912	1434
439	3921	1426
440	3930	1417
441	3939	1408
442	3948	1399
443	3956	1390
444	3965	1381
445	3974	1372
446	3983	1363
447	3991	1354
448	4000	1345
449	4009	1336
450	4018	1327
451	4027	1318
452	4036	1309
453	4045	1300
454	4054	1292
455	4063	1283
456	4072	1274
457	4081	1265
458	4090	1256
459	4099	1247
460	4107	1238
461	4116	1229
462	4125	1220
463	4134	1211
464	4142	1202
465	4151	1193
466	4160	1184
467	4169	1175
468	4178	1166
469	4186	1158
470	4195	1149
471	4205	1140
472	4214	1131
473	4223	1122
474	4232	1113
475	4240	1104
476	4249	1095
477	4258	1086
478	4267	1078
479	4276	1069
480	4285	1060
481	4294	1051
482	4303	1042
483	4312	1033
484	4321	1024
485	4330	1015
486	4339	1006
487	4348	997
488	4357	989
489	4366	980
490	4374	971
491	4383	962
492	4392	953
493	4401	944
494	4410	935
495	4419	926
496	4428	917
497	4437	908
498	4446	899
499	4455	891
500	4464	882
501	4472	873
502	4482	864
503	4490	855
504	4499	846
505	4508	837
506	4517	828
507	4526	819
508	4535	810
509	4544	802
510	4553	793
511	4562	784
512	4571	775
513	4580	766
514	4588	757
515	4597	748
516	4606	739
517	4614	730
518	4623	721
519	4632	712
520	4641	703
521	4650	694
522	4659	685
523	4668	677
524	4676	668
525	4685	659
526	4695	650
527	4703	641
528	4713	632
529	4722	623
530	4731	614
531	4740	605
532	4748	596
533	4758	588
534	4767	579
535	4776	570
536	4784	561
537	4793	552
538	4802	543
539	4811	534
540	4820	525
541	4829	516
542	4839	508
543	4848	499
544	4857	490
545	4866	481
546	4875	472
547	4884	463
548	4893	454
549	4902	445
550	4911	436
551	4920	427
552	4929	418
553	4937	410
554	4946	401
555	4955	392
556	4965	383
557	4974	374
558	4982	365
559	4991	356
560	5000	347
561	5009	338
562	5018	329
563	5028	320
564	5037	312
565	5045	303
566	5054	294
567	5063	285
568	5072	276
569	5081	267
570	5090	258
571	5099	249
572	5107	240
573	5116	231
574	5125	222
575	5134	213
576	5143	205
577	5152	196
578	5161	187
579	5170	178
580	5178	169
581	5187	160
582	5196	151
583	5205	142
584	5214	133
585	5223	124
586	5232	115
587	5241	106
588	5250	98
589	5258	89
590	5267	80
591	5276	71
592	5284	62
593	5293	53
594	5302	44
595	5312	35
596	5321	26
597	5330	17
598	5339	8
599	5348	0
