iter	RMSE
352	565.1099117
353	565.0010882
354	564.8710193
355	564.8070568
356	564.7533862
357	564.6346498
358	564.5302306
359	564.426951
360	564.3600596
361	564.2595545
362	564.1780374
363	564.1256954
364	563.9741903
365	563.9364839
366	563.8634324
367	563.7947471
368	563.7369547
369	563.6656442
370	563.5183134
371	563.4530519
372	563.3556006
373	563.2332993
374	563.1421964
375	563.0251032
376	562.8543901
377	562.7870753
378	562.715793
379	562.6398368
380	562.5877076
381	562.4974077
382	562.4456841
383	562.3961039
384	562.3335569
385	562.2332929
386	562.164146
387	562.0949279
388	562.0088396
389	561.9162013
390	561.86141
391	561.7834417
392	561.6924796
393	561.5912818
394	561.5525972
395	561.4649337
396	561.2841289
397	561.2219968
398	561.1404738
399	561.0411705
400	560.9635856
401	560.9257953
402	560.8384077
403	560.7814896
404	560.6808831
405	560.6082648
406	560.5508992
407	560.488404
408	560.3296071
409	560.2270154
410	560.1866019
411	560.1338818
412	560.0419667
413	559.9232801
414	559.8560773
415	559.785803
416	559.7101143
417	559.6725737
418	559.6016307
419	559.5353291
420	559.4962107
421	559.4264646
422	559.2921164
423	559.2536174
424	559.2104442
425	559.1532284
426	559.0258854
427	558.9849476
428	558.9519863
429	558.9131807
430	558.869532
431	558.8043533
432	558.7197674
433	558.6685937
434	558.6300765
435	558.5536799
436	558.4950884
437	558.450155
438	558.4012006
439	558.3074151
440	558.2331241
441	558.196905
442	558.1585789
443	558.0826245
444	557.9424766
445	557.8579204
446	557.6983365
447	557.6500701
448	557.6101554
449	557.5871801
450	557.5659069
451	557.4984575
452	557.4690943
453	557.4139971
454	557.3789735
455	557.3145433
456	557.2524225
457	557.2157347
458	557.0957036
459	557.0280683
460	556.9756152
461	556.9173866
462	556.8338377
463	556.776279
464	556.7326911
465	556.7033161
466	556.6380436
467	556.5821901
468	556.553325
469	556.521681
470	556.4816153
471	556.3961134
472	556.3280108
473	556.2912668
474	556.2588621
475	556.2029501
476	556.1843052
477	556.1413169
478	556.0617443
479	556.0390179
480	556.0021701
481	555.878702
482	555.797801
483	555.7561006
484	555.7465432
485	555.7001052
486	555.6689242
487	555.5991895
488	555.4663079
489	555.4180112
490	555.3795902
491	555.326584
492	555.2564215
493	555.1859837
494	555.1749441
495	555.1367901
496	555.0055204
497	554.9478471
498	554.8538607
499	554.7691594
500	554.7067035
501	554.6203279
502	554.5849007
503	554.5312525
504	554.4464263
505	554.4339562
506	554.3758151
507	554.3347881
508	554.2683673
509	554.2327603
510	554.1974926
511	554.1755817
512	554.1337136
513	554.0672984
514	553.9538643
515	553.8854608
516	553.8077558
517	553.7559016
518	553.6649394
519	553.6225022
520	553.5873655
521	553.5675087
522	553.4835782
523	553.4176426
524	553.387027
525	553.3427647
526	553.3094051
527	553.1713221
528	553.1612982
529	553.088481
530	553.015076
531	552.9784296
532	552.9160691
533	552.8798143
534	552.8161304
535	552.7557143
536	552.6868739
537	552.6636861
538	552.6147808
539	552.5546556
540	552.4729684
541	552.3482069
542	552.330229
543	552.2513456
544	552.1654723
545	552.0948435
546	552.017069
547	551.9329259
548	551.9113806
549	551.8293574
550	551.7252868
551	551.6417198
552	551.6164251
553	551.5573442
554	551.5223634
555	551.5041579
556	551.4179749
557	551.372116
558	551.2969758
559	551.2870177
560	551.2412583
561	551.2150707
562	551.1770212
563	551.0587946
564	551.0358745
565	550.9822874
566	550.8450803
567	550.801572
568	550.6927975
569	550.65202
570	550.6019078
571	550.5784283
572	550.4736841
573	550.3981909
574	550.3659202
575	550.3289889
576	550.273596
577	550.237409
578	550.2135153
579	550.1264774
580	550.0874312
581	550.0330347
582	550.0017848
583	549.9831535
584	549.8651378
585	549.81132
586	549.7470733
587	549.635421
588	549.5757245
589	549.4971828
590	549.4760061
591	549.3436436
592	549.3322053
593	549.2621733
594	549.2373587
595	549.2143024
596	549.1931019
597	549.1110785
598	549.0715647
599	549.0560472
